date,name,value
1994-01-01,Other,3
1994-01-01,Mosaic,97
1995-01-01,Other,37
1995-01-01,Mosaic,9
1995-01-01,Netscape,54
1996-01-01,Other,6.88
1996-01-01,Netscape,89.36
1996-01-01,Internet Explorer,3.76
1997-01-01,Other,6.74
1997-01-01,Netscape,81.13
1997-01-01,Internet Explorer,12.13
1998-01-01,Other,7.3
1998-01-01,Netscape,70
1998-01-01,Internet Explorer,22.7
1999-01-01,Other,1.89
1999-01-01,Netscape,66.9
1999-01-01,Internet Explorer,31.21
2000-01-01,Other,0.83
2000-01-01,Netscape,13.09
2000-01-01,Internet Explorer,86.08
2001-01-01,Other,0.28
2001-01-01,Netscape,12.01
2001-01-01,Internet Explorer,87.71
2001-01-01,Other,-6.66
2002-01-01,Internet Explorer,95.97
2002-01-01,Mozilla,3.39
2002-01-01,Netscape,7.3
2003-01-01,Other,4.4
2003-01-01,Internet Explorer,87.2
2003-01-01,Mozilla,5.7
2003-01-01,Netscape,2.7
2003-01-01,Opera,1.7
2004-01-01,Internet Explorer,94.72
2004-01-01,Opera,0.73
2004-01-01,Other,3.06
2004-01-01,Netscape,1.49
2005-01-01,Internet Explorer,87.57
2005-01-01,Firefox,7.85
2005-01-01,Opera,1.05
2005-01-01,Other,2.68
2005-01-01,Netscape,0.85
2006-01-01,Internet Explorer,83.36
2006-01-01,Firefox,12.38
2006-01-01,Safari,1.67
2006-01-01,Opera,0.77
2006-01-01,Other,1.44
2006-01-01,Netscape,0.38
2007-01-01,Internet Explorer,77.34
2007-01-01,Firefox,14.34
2007-01-01,Safari,1.63
2007-01-01,Opera,0.85
2007-01-01,Other,5.84
2008-01-01,Internet Explorer,76.2
2008-01-01,Firefox,18.1
2008-01-01,Safari,1.7
2008-01-01,Opera,1
2008-01-01,Other,3.0
2009-01-01,Internet Explorer,67.7
2009-01-01,Firefox,25.3
2009-01-01,Safari,2.6
2009-01-01,Chrome,1.0
2009-01-01,Opera,1.4
2009-01-01,Other,2.0
2010-01-01,Internet Explorer,57.1
2010-01-01,Firefox,29.6
2010-01-01,Safari,5.2
2010-01-01,Chrome,5.3
2010-01-01,Opera,2.2
2010-01-01,Other,0.6
2011-01-01,Internet Explorer,61.3
2011-01-01,Firefox,19.6
2011-01-01,Chrome,8.8
2011-01-01,Safari,9.4
2011-01-01,Opera,0.4
2011-01-01,Other,0.6
2012-01-01,Internet Explorer,51.8
2012-01-01,Firefox,19.0
2012-01-01,Chrome,16.8
2012-01-01,Safari,10.9
2012-01-01,Opera,0.4
2012-01-01,Other,1.1
2013-01-01,Internet Explorer,35.7
2013-01-01,Chrome,32.8
2013-01-01,Firefox,20.8
2013-01-01,Safari,9.4
2013-01-01,Opera,1.2
2013-01-01,Other,0.2
2014-01-01,Chrome,27.3
2014-01-01,Firefox,18.2
2014-01-01,Internet Explorer,11.8
2014-01-01,Safari,23.3
2014-01-01,Opera,2.8
2014-01-01,Other,16.6
2015-01-01,Chrome,63.3
2015-01-01,Internet Explorer,6.5
2015-01-01,Firefox,21.6
2015-01-01,Safari,4.9
2015-01-01,Opera,2.5
2015-01-01,Other,1.2
2016-01-01,Chrome,68.4
2016-01-01,Internet Explorer,6.2
2016-01-01,Firefox,18.8
2016-01-01,Safari,3.7
2016-01-01,Opera,1.4
2016-01-01,Other,1.5
2017-01-01,Chrome,73.7
2017-01-01,Internet Explorer,4.9
2017-01-01,Firefox,15.4
2017-01-01,Safari,3.6
2017-01-01,Opera,1
2017-01-01,Other,1.4
2018-01-01,Chrome,77.2
2018-01-01,Internet Explorer,4.1
2018-01-01,Firefox,12.4
2018-01-01,Safari,3.2
2018-01-01,Opera,1.6
2018-01-01,Other,1.5
2019-01-01,Chrome,79.5
2019-01-01,Edge,4
2019-01-01,Firefox,10.2
2019-01-01,Safari,3.3
2019-01-01,Opera,1.6
2019-01-01,Other,1.4
2020-01-01,Chrome,81.9
2020-01-01,Edge,3
2020-01-01,Firefox,9.1
2020-01-01,Safari,3.3
2020-01-01,Opera,1.3
2020-01-01,Other,1.4
2021-01-01,Chrome,80.3
2021-01-01,Edge,5.3
2021-01-01,Firefox,6.7
2021-01-01,Safari,3.8
2021-01-01,Opera,2.3
2021-01-01,Other,1.6
2022-01-01,Chrome,80.1
2022-01-01,Edge,7.3
2022-01-01,Firefox,5.5
2022-01-01,Safari,3.9
2022-01-01,Opera,2.3
2022-01-01,Other,0.9
2023-01-01,Chrome,79.7
2023-01-01,Edge,8.2
2023-01-01,Firefox,5
2023-01-01,Safari,3.9
2023-01-01,Opera,2.3
2023-01-01,Other,0.9
